"GeneID"	"geno"	"tpm"
"111"	"Olfr112"	"OMPGFP"	3.66465881183889
"112"	"Olfr1120"	"OMPGFP"	1.32488503302573
"113"	"Olfr1121"	"OMPGFP"	0
"114"	"Olfr1122"	"OMPGFP"	19.9541423980302
"115"	"Olfr1123"	"OMPGFP"	8.88448955815288
"116"	"Olfr1124"	"OMPGFP"	2.85598201070789
"117"	"Olfr1126"	"OMPGFP"	0.833519904272501
"118"	"Olfr1128"	"OMPGFP"	0
"119"	"Olfr1129"	"OMPGFP"	3.37622388191277
"120"	"Olfr113"	"OMPGFP"	1.9413893247754
"121"	"Olfr1130"	"OMPGFP"	3.09069180504243
"122"	"Olfr1131"	"OMPGFP"	0
"123"	"Olfr1132"	"OMPGFP"	1.34356662406998
"124"	"Olfr1133"	"OMPGFP"	1.64049458866371
"125"	"Olfr1134"	"OMPGFP"	1.26419003805728
"126"	"Olfr1135"	"OMPGFP"	0.58982668035161
"127"	"Olfr1136"	"OMPGFP"	0
"128"	"Olfr1137"	"OMPGFP"	2.38867329546885
"129"	"Olfr1138"	"OMPGFP"	0
"130"	"Olfr114"	"OMPGFP"	0
"131"	"Olfr1140"	"OMPGFP"	6.15782324289466
"132"	"Olfr1141"	"OMPGFP"	0
"133"	"Olfr1143"	"OMPGFP"	1.53004544804081
"134"	"Olfr1144-ps1"	"OMPGFP"	0
"135"	"Olfr1145"	"OMPGFP"	0
"136"	"Olfr1146-ps1"	"OMPGFP"	0
"137"	"Olfr1147-ps1"	"OMPGFP"	0.412312140480581
"138"	"Olfr1148"	"OMPGFP"	1.05268794449674
"139"	"Olfr1149-ps1"	"OMPGFP"	0
"140"	"Olfr115"	"OMPGFP"	12.4248916785625
"141"	"Olfr1150-ps1"	"OMPGFP"	0.335361523984639
"142"	"Olfr1151"	"OMPGFP"	1.54658316905646
"143"	"Olfr1152"	"OMPGFP"	5.08337467934611
"144"	"Olfr1153"	"OMPGFP"	0.934082387887583
"145"	"Olfr1154"	"OMPGFP"	1.68890262570625
"146"	"Olfr1155"	"OMPGFP"	2.39845949531707
"147"	"Olfr1156"	"OMPGFP"	3.77835183990518
"148"	"Olfr1157"	"OMPGFP"	2.94576039367369
"149"	"Olfr1158"	"OMPGFP"	0
"150"	"Olfr1159-ps1"	"OMPGFP"	0
"151"	"Olfr116"	"OMPGFP"	2.53880756702443
"152"	"Olfr1160"	"OMPGFP"	0.448186166624483
